61907|Almette Z Ziołami Puszysty Serek Twarogowy 150 G|4.15|PLN|5902899101651|230|20.0|5.6|5.6
93409|Bakoma Jogurt Bio Z Jagodami 230 G|3.28|PLN|5900197023149|81|1.8|13.5|13.5
80351|Bakoma Jogurt Bio Z Owocami Leśnymi 140 G|1.79|PLN|5900197022401|97|2.5|15.5|15.5
3960|Bakoma Jogurt Naturalny Gęsty 170 G|1.25|PLN|5900197000034|58|2.8|4.9|4.9
15035|Bakoma Twist Jogurt Z Owocami Leśnymi 400 G|2.59|PLN|5900197007354|68|1.6|10.6|10.6
61870|Džiugas Mild Ser Twardy Dojrzewający 12 Miesięcy 180 G|9.49|PLN|4770299392259|367|26.0|0.0|0.0
62483|Sm Gostyń Kajmak Masa Krówkowa Gostyńska 510 G|7.99|PLN|5900691031329|288|7.2|49.0|49.0
62529|Sm Gostyń Mleko Gostyńskie Zagęszczone Słodzone 8,0% 530 G|7.59|PLN|5900691031114|326|8.0|55.0|55.0
89517|Greek Style Jogurt Naturalny 10% Tłuszczu 340 G|3.19|PLN|5906295340416|121|10.0|4.4|4.4
61447|Krasnystaw Calpro Jogurt Naturalny 175 G|0.85|PLN|5902057000048|60|2.0|6.0|6.0
62506|Krasnystaw Twoje Zdrowie Mleko 2,0% 1 L|2.39|PLN|5902057002424|47|2.0|4.3|4.3
2731|Krasnystaw Śmietana 12% Homogenizowana 150 G|1.29|PLN|5902057000239|135|12.0|4.0|4.0
61450|Krasnystaw Zsiadłe Mleko Z Krasnegostawu 400 G|1.99|PLN|5902057003254|55|3.0|4.3|4.3
62853|Lazur Ser Pleśniowy Błękitny 100 G|4.89|PLN|5907070001010|366|31.0|1.8|1.8
62901|Lazur Ser Pleśniowy Złocisty 100 G|4.89|PLN|5907070003113|349|30.0|1.8|1.8
33419|Łaciata Śmietanka 30% 250 Ml|3.49|PLN|5900820008079|292|30.0|3.3|3.3
33420|Łaciata Śmietanka 12% 250 Ml|2.1|PLN|5900820008055|137|12.0|4.2|4.2
62561|Łaciate Junior Mleko Uht 3,8% 1 L|2.89|PLN|5900820012519|66|3.8|4.7|4.7
62504|Łaciate Mleko Świeże 2% 1 L|2.45|PLN|5900820012212|50|2.0|4.8|4.8
97254|Łaciaty Jogurt Pitny Jeżyna Malina Bez Laktozy 250 Ml|1.45|PLN|5900820006945|66|1.8|9.5|9.5
20454|Maluta Jogurt Typ Bałkański 340 G|3.19|PLN|5904467109243|118|9.0|5.0|5.0
55023|Mlekovita Masło Klarowane 500 G|18.49|PLN|5900512300054|898|99.8|0.1|0.1
5775|Mlekovita Masło Polskie Ekstra Bez Dodatków 82% 100 G|2.79|PLN|5900512300207|746|82.0|1.0|1.0
29750|Mlekovita Mleko Polskie Spożywcze 2,0% 1 L|2.45|PLN|5900512850023|49|2.0|4.7|4.7
46883|Mlekovita Polski Wiejski Lekki Serek Twarogowy Ziarnisty Ze Śmietanką 150 G|1.69|PLN|5900512500621|81|3.0|2.4|2.4
62396|Mlekpol Mazurski Smak Twaróg Półtłusty 250 G|3.69|PLN|5900820007768|115|4.0|3.7|3.7
61783|Mlekpol Ser Gouda W Plastrach 150 G|3.19|PLN|5900820005504|347|27.0|0.0|0.0
61785|Mlekpol Ser Salami W Plastrach 150 G|3.19|PLN|5900820005726|343|27.0|0.0|0.0
61161|Naturek Nasz Puszysty Śmietankowy Serek Twarogowy 140 G|3.29|PLN|5901524262712|257|24.0|3.1|3.1
61491|Piątnica Jogurt Naturalny 330 G|1.59|PLN|5900531003738|58|2.0|5.9|5.9
21860|Piątnica Ser Mascarpone 250 G|6.49|PLN|5900531001406|394|40.0|5.1|5.1
62289|Piątnica Serek Wiejski Z Brzoskwinią 150 G|2.19|PLN|5900531000935|110|4.0|10.0|10.0
62332|Piątnica Serek Wiejski Z Malinami I Żurawiną 150 G|2.19|PLN|5900531000980|110|4.0|10.0|10.0
63212|Piątnica Śmietana Do Sałatek Sosów Zup 12% 200 G|1.69|PLN|5901939010014|134|12.0|3.9|3.9
44228|Piątnica Twój Smak Serek Śmietankowy Naturalny 135 G|2.19|PLN|5900531000508|243|23.0|3.0|3.0
40831|Président Ser Camembert Chili 120 G|3.29|PLN|5906207570078|357|32.0|0.2|0.2
44437|Président Twaróg Sernikowy 1 Kg|9.99|PLN|5908275688587|92|4.0|4.2|4.2
89511|Bakoma Jogurt Bio Naturalny 140 G|1.79|PLN|5900197022548|65|2.0|7.0|7.0
93410|Bakoma Jogurt Bio Z Morelami 230 G|3.39|PLN|5900197023132|81|1.8|13.5|13.5
80356|Bakoma Jogurt Bio Z Truskawkami 140 G|1.79|PLN|5900197022388|97|2.5|15.5|15.5
60759|Bakoma Jogurt Naturalny Gęsty 430 G|3.19|PLN|5900197002595|58|2.8|4.9|4.9
40780|Bakoma Polskie Smaki Deser Jogurtowy Z Truskawkami 120 G|0.99|PLN|5900197013539|71|1.3|12.7|12.7
60752|Bakoma Polskie Smaki Deser Jogurtowy Z Wiśniami 120 G|0.99|PLN|5900197013553|71|1.3|12.7|12.7
43334|Bakoma Twist Jogurt Malinowy 400 G|2.59|PLN|5900197007644|68|1.6|10.6|10.6
43336|Bakoma Twist Jogurt Truskawkowy 400 G|2.59|PLN|5900197007361|68|1.6|10.6|10.6
61960|Bieluch Lekki Serek Naturalny 150 G|1.99|PLN|5902061000171|81|3.0|4.5|4.5
87969|Bieluch Twaróg Półtłusty 250 G|2.89|PLN|5902061000799|115|4.0|3.8|3.8
87968|Bieluch Twaróg Tłusty 250 G|2.89|PLN|5902061000782|145|8.0|3.7|3.7
110|Ser Półtwardy Z Niebieską Pleśnią 100 G|5.99|PLN|4000504210024|337|29.0|0.0|0.0
101205|Finuu Miks Tłuszczowy Do Smarowania Bez Laktozy 200 G|7.69|PLN|5900247003084|683|75.0|1.1|1.1
31059|Galbani Ser Mozzarella Mini 150 G|5.89|PLN|8000430132267|225|17.0|1.0|1.0
62515|Sm Gostyń Mleko Gostyńskie Zagęszczone Niesłodzone Light 4% 200 G|2.15|PLN|5900691031121|104|4.0|10.0|10.0
62520|Sm Gostyń Mleko Gostyńskie Zagęszczone Niesłodzone Light 4% 500 G|4.49|PLN|5900691031138|104|4.0|10.0|10.0
62637|Hochland Ser Kremowy Gouda W Plastrach 130 G|3.39|PLN|5902899137421|266|20.0|5.4|5.4
99489|Hochland Sałatkowy Ser Typu Greckiego 180 G|6.39|PLN|4002671154200|279|24.0|0.7|0.7
94917|Hochland Ser Kremowy Śmietankowy W Trójkącikach 180 G|4.89|PLN|5902899141701|240|19.0|6.3|6.3
94919|Hochland Ser Kremowy Z Szynką W Trójkącikach 180 G|5.69|PLN|5902899141725|237|19.0|6.5|6.5
62662|Hochland Ser Kremowy W Plastrach Tost 130 G|3.39|PLN|5902899137544|270|20.0|5.4|5.4
62855|Lazur Ser Pleśniowy Srebrzysty 100 G|4.89|PLN|5907070004110|349|30.0|1.8|1.8
62856|Lazur Ser Pleśniowy Turkusowy 100 G|4.89|PLN|5907070001126|366|31.0|1.8|1.8
40778|Łaciata Śmietanka Uht Do Kawy 100 Ml (10 Sztuk)|1.15|PLN|5900820001858|120|10.0|4.5|4.5
6743|Łaciate Mleko Uht 0,5% 500 Ml|1.69|PLN|5900820000165|38|0.5|5.0|5.0
81808|Łaciate Mleko Uht O Smaku Waniliowym 200 Ml|1.39|PLN|5900820016289|64|1.5|9.5|9.5
97255|Łaciaty Jogurt Pitny Truskawka Czarna Porzeczka Bez Laktozy 250 Ml|1.45|PLN|5900820006921|66|1.8|9.5|9.5
61479|Mlekovita Masło Klarowane 250 G|9.49|PLN|5900512990705|898|99.8|0.1|0.1
89609|Mlekovita Masło Polskie Ekstra Bez Laktozy 82% 200 G|5.69|PLN|5900512982977|744|82.0|0.8|0.8
61478|Mlekovita Masło Polskie Ekstra Lekko Solone 200 G|5.29|PLN|5900512999029|742|81.5|1.0|1.0
89534|Mlekovita Maślanka Naturalna 400 G|1.35|PLN|5900512999258|45|1.5|4.8|4.8
40828|Mlekovita Wypasione Mleko Czekoladowe 200 Ml|0.99|PLN|5900512300542|66|1.5|10.0|10.0
91596|Mlekovita Polski Wiejski Bez Laktozy Serek Twarogowy Ziarnisty Ze Śmietanką 180 G|1.79|PLN|5900512980966|97|5.0|2.0|2.0
44145|Mlekovita Ser Gouda Mierzwiony 150 G|3.59|PLN|5900512110585|334|26.0|0.0|0.0
78498|Mlekovita Gouda Ser Bez Laktozy W Plastrach 150 G|3.59|PLN|5900512999814|334|26.0|0.0|0.0
61987|Mlekovita Polski Wiejski Serek Twarogowy Ziarnisty Ze Śmietanką 200 G|1.79|PLN|5900512500539|97|5.0|2.0|2.0
62238|Łaciaty Serek Śmietankowy Naturalny 135 G|2.89|PLN|5900820011468|249|23.0|4.8|4.8
62240|Łaciaty Serek Śmietankowy Z Czosnkiem 135 G|2.89|PLN|5900820011499|250|23.0|4.9|4.9
62395|Mlekpol Mazurski Smak Twaróg Chudy 250 G|3.69|PLN|5900820007874|83|0.0|3.8|3.8
61779|Mlekpol Gouda Ser Porcjowany 250 G|6.49|PLN|5900820003678|347|27.0|0.0|0.0
62766|Naturek Nasz Camembert Naturalny Ser 120 G|4.69|PLN|5901390112104|356|31.0|1.3|1.3
62770|Naturek Nasz Camembert Z Ziołami Ser 120 G|4.69|PLN|5901390152124|356|31.0|1.3|1.3
60797|Optima Cardio Margaryna Roślinna Z Dodatkiem Steroli Roślinnych 400 G|14.19|PLN|5900247002254|540|60.0|0.0|0.0
97871|Piątnica Bio Serek Wiejski 200 G|2.99|PLN|5900531050015|97|5.0|2.0|2.0
97876|Piątnica Bio Twaróg Wiejski Półtłusty 250 G|4.99|PLN|5900531054013|115|4.0|3.8|3.8
89514|Piątnica Jogurt Typu Greckiego Naturalny 150 G|1.35|PLN|5900531003103|51|0.0|4.1|4.1
78515|Piątnica Produkt Mleczny Bez Laktozy 2,0% 1 L|3.99|PLN|5901939002019|44|2.0|2.6|2.6
41672|Piątnica Serek Wiejski Lekki 500 G|4.99|PLN|5900531000072|81|3.0|2.4|2.4
62287|Piątnica Serek Wiejski Lekki 150 G|1.79|PLN|5900531000102|81|3.0|2.4|2.4
