|id|price|ean|wartosci_odzywcze|title
15|57829|3.90 zł|8003740031077|{'Wartość energetyczna': '1476 kJ / 348 kcal', 'Tłuszcz': '1,1 g', 'w tym kwasy tłuszczowe nasycone': '0,1 g', 'Węglowodany': '71 g', 'w tym cukry': '3,5 g', 'Błonnik': '3 g', 'Białko': '12 g', 'Sól': '0,01 g', 'metadata': '100 g'}|Arrighi Makaron Penne Rigate 500 G
16|759|1.59 zł|99193||Bagietka Długa
17|69269|3.99 zł|5900956201009|{'Wartość energetyczna ': '644 kJ/152 kcal', 'Tłuszcz ': '<0,5 g', ' w tym kwasy tłuszczowe nasycone ': '<0,1 g', 'Węglowodany ': '36 g', ' w tym cukry ': '35 g', 'Białko ': '<0,5 g', 'Sól ': '0,07 g', 'metadata': 'w 100 g produktu'}|Herbapol Dżem Truskawkowy O Obniżonej Zawartości Cukru 280 G
18|59594|1.59 zł|5900084001038||Kamis Pieprz Czarny Mielony 20 G
19|62207|4.65 zł|5900049000359|{'Wartość energetyczna': '1472 kJ / 348 kcal', 'Tłuszcz': '2,4 g', ' w tym kwasy tłuszczowe nasycone ': '0,6 g', 'Węglowodany ': '63 g', ' w tym cukry ': '2,8 g', 'Błonnik ': '7,2 g', 'Białko ': '15 g', 'Sód ': '0,03 g', 'Fosfor ': '279 mg (40%)*', 'Magnez ': '67 mg (18%)*', 'Żelazo ': '3,38 mg (24%)*', 'Cynk ': '2,41 mg (24%)*', '* % referencyjnej wartości spożycia': '', 'metadata': 'w 100 g produktu'}|Lubella Pełne Ziarno Mąka Pełnoziarnista Pszenna Typ 2000 1 Kg
20|288|13.99 zł|7613031918881||Nescafé Classic Kawa Rozpuszczalna 200 G
21|3120|3.79 zł|5901486000537||Spc Chleb Baltonowski
22|100126|3.79 zł|5902620931540|{'Wartość energetyczna (kJ/kcal)': '1142/273', 'Tłuszcz (g) w tym:': '4,3 ', ' kwasy tłuszczowe nasycone (g)': '0,4 ', 'Węglowodany (g) w tym:': '50,8 ', ' cukry (g)': '6,1 ', 'Białko (g)': '7,9 ', 'Sól (g)': '1,2 ', 'metadata': '100 g produktu'}|Us Hot Dog Bułki Do Hot Dogów 240 G (4 Sztuk)
23|12533|9.19 zł|5907570900158||Barć Miód Rzepakowy Nektarowy
24|586|4.28 zł|3083680086936|{'Wartość energetyczna ': '334 kJ - 80 kcal', 'Tłuszcz ': '1,9 g', 'w tym kwasy tłuszczowe nasycone ': '0,5 g', 'Węglowodany ': '10,8 g', 'w tym cukry ': '5,2 g', 'Błonnik ': '3,8 g', 'Białko ': '2,9 g', 'Sól': '0,40 g', 'Kwas foliowy (%RWS**)': '52,2 µg (26%)', '**RWS - Referencyjna wartość spożycia dla osoby dorosłej (8 400 kJ/2 000 kcal). ': '', 'metadata': 'Wartość odżywcza odsączonego produktu w 100 g'}|Bonduelle Kukurydza Złocista 340 G
